,year,country,performer,song,place_f,points_f,place_sf1,points_sf1,place_sf2,points_sf2,broadcaster,composer,writer
 greece_1991,1991, Greece, Sofia Vossou, I Anixi, 13, 36,,,,, ERT, Andreas Mikroutsikos, Andreas Mikroutsikos
 iceland_1991,1991, Iceland, Stefán and Eyfi, Nina, 15, 26,,,,, RÚV, Eyjólfur Kristjánsson, Eyjólfur Kristjánsson
 ireland_1991,1991, Ireland, Kim Jackson, Could It Be That I'm In Love, 10, 47,,,,, RTÉ, Liam Reilly, Liam Reilly
 israel_1991,1991, Israel, Duo Datz, Kan, 3, 139,,,,, IBA, Uzi Chitman, Uzi Chitman
 italy_1991,1991, Italy, Peppino di Capri, Comme E' Ddoce 'o Mare, 7, 89,,,,, RAI, Marcello Marocchi, Giampiero Artegiani
 luxembourg_1991,1991, Luxembourg, Sarah Bray, Un Baiser Volé, 14, 29,,,,, CLT, Patrick Hippert," Mick Wersant, Linda Lecomte"
 malta_1991,1991, Malta, Paul Giordimaina and Georgina, Could It Be, 6, 106,,,,, XM, Paul Abela, Raymond Mahoney
 norway_1991,1991, Norway, Just 4 Fun, Mrs. Thompson, 17, 14,,,,, NRK," P. G. Roness, Kaare Skevik Jr.", Dag Kolsrud
 portugal_1991,1991, Portugal, Dulce, Lusitana Paixão, 8, 62,,,,, RTP," Jorge Quintela, José Da Ponte"," Fred Micaelo, José Da Ponte"
 spain_1991,1991, Spain, Sergio Dalma, Bailar Pegados, 4, 119,,,,, TVE, Julio Seijas, Luis Gomez Escolar
 sweden_1991,1991, Sweden, Carola, Fångad Av En Stormvind, 1, 146,,,,, SVT, Stephan Berg, Stephan Berg
 switzerland_1991,1991, Switzerland, Sandra Simò, Canzone Per Te, 5, 118,,,,, SSR SRG, Renato Mascetti, Renato Mascetti
 turkey_1991,1991, Turkey," Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér", Iki Dakika, 12, 44,,,,, TRT, Şevket Uğurluer, Aysel Gürel
 united kingdom_1991,1991, United Kingdom, Samantha Janus, A Message To Your Heart, 10, 47,,,,, BBC, Paul Curtis, Paul Curtis
 yugoslavia_1991,1991, Yugoslavia, Baby Doll, Brazil, 21, 1,,,,, JRT, Zoran Vracević, Dragana Sarić
 austria_1992,1992, Austria, Tony Wegas, Zusammen Geh'n, 10, 63,,,,, ORF, Dieter Bohlen, Joachim Horn-Bernges
 belgium_1992,1992, Belgium, Morgane, Nous On Veut Des Violons, 20, 11,,,,, RTBF, Claude Barzotti, Anne-Marie Gaspard
 cyprus_1992,1992, Cyprus, Evridiki, Teriazoume, 11, 57,,,,, CyBC," Giorgos Theophanous, Leonidas Malenis"," Giorgos Theophanous, Leonidas Malenis"
 denmark_1992,1992, Denmark, Lotte Nilsson and Kenny Lübcke, Ålt Det Som Ingen Ser, 12, 47,,,,, DR, Carsten Warming, Carsten Warming
 finland_1992,1992, Finland, Pave, Yamma Yamma, 23, 4,,,,, YLE, Pave Maijanen, Hector
 france_1992,1992, France, Kali, Monté La Riviè, 8, 73,,,,, A2F, Kali, Kali
 germany_1992,1992, Germany, Wind, Träume Sind Für Alle Da, 16, 27,,,,, ARD, Ralph Siegel, Bernd Meinunger
 greece_1992,1992, Greece, Cleopatra, Olou Tou Kosmou I Elpida, 5, 94,,,,, ERT, Christos Lagos, Christos Lagos
 iceland_1992,1992, Iceland, Heart 2 Heart, Nei Eða Já, 7, 80,,,,, RÚV," Friðrik Karlsson, Grétar Örvarsson", Stefán Hilmarsson
 ireland_1992,1992, Ireland, Linda Martin, Why Me, 1, 155,,,,, RTÉ, Johnny Logan, Johnny Logan
 israel_1992,1992, Israel, Dafna, Ze Rak Sport, 6, 85,,,,, IBA, Kobi Oshrat, Ehud Manor
 italy_1992,1992, Italy, Mia Martini, Rapsodia, 4, 111,,,,, RAI, Giuseppe Dati, Giancarlo Bigazzi
 luxembourg_1992,1992, Luxembourg, Marion Welter and Kontinent, Sou Fräi, 21, 10,,,,, CLT," Jang Linster, Ab van Goor"," Jang Linster, Ab van Goor"
 malta_1992,1992, Malta, Mary Spiteri, Little Child, 3, 123,,,,, XM, Georgina Abela, Raymond Mahoney
 netherlands_1992,1992, Netherlands, Humphrey Campbell, Wijs Me De Weg, 9, 67,,,,, NOS, Edwin Schimscheimer, Edwin Schimscheimer
 norway_1992,1992, Norway, Merethe Trøan, Visjoner, 18, 23,,,,, NRK, Robert Morley, Eva Jansen
 portugal_1992,1992, Portugal, Diná, Amor D'água Fresca, 17, 26,,,,, RTP, Nandina Veloso, Rosa Lobato de Faria
 spain_1992,1992, Spain, Serafin, Todo Esto Es La Música, 14, 37,,,,, TVE," Luis Miguélez, Alfredo Valbuena", Luis Miguélez
 sweden_1992,1992, Sweden, Christer Björkmann, I Morgon är En Annan Dag, 22, 9,,,,, SVT, Niklas Strömstedt, Niklas Strömstedt
 switzerland_1992,1992, Switzerland, Daisy Auvray, Mister Music Man, 15, 32,,,,, SSR SRG, Gordon Dent, Gordon Dent
 turkey_1992,1992, Turkey, Aylin Vatankos, Yaz Bitti, 19, 17,,,,, TRT, Aldoğan Şimşekyay, Aylin Sarıkayalı
 united kingdom_1992,1992, United Kingdom, Michael Ball, One Step Out Of Time, 2, 139,,,,, BBC," Paul Davies, Tony Ryan, Victor Stratton"," Paul Davies, Tony Ryan, Victor Stratton"
 yugoslavia_1992,1992, Yugoslavia, Extra Nena, Ljubim Te Pesmama, 13, 44,,,,, JRT, Radivoje Radivojević, Gale Janković
 austria_1993,1993, Austria, Tony Wegas, Maria Magdalena, 14, 32,,,,, ORF," Christian Kolonovits, Johann Bertl", Thomas Spitzer
 belgium_1993,1993, Belgium, Barbara, Iemand Als Jij, 25, 3,,,,, BRTN, Marc Vliegen, Tobana
 bosnia & herzegovina_1993,1993, Bosnia & Herzegovina, Fazla, Sva Bol Svijeta, 16, 27,,,,, RTVBIH, Edin Dervišhalidović," Edin Dervišhalidović, Fahrudin P.-Peca,"
 croatia_1993,1993, Croatia, Put, Don't Ever Cry, 15, 31,,,,, HRT, Andrej Basa, Đorđe Novković
 cyprus_1993,1993, Cyprus, Kyriakos Zymboulakis and Demos Van Beke, Mi Stamatas, 19, 17,,,,, CyBC, Aristos Moskovakis, Rodoula Papalambrianou
 denmark_1993,1993, Denmark, Tommy Seebach Band, Under Stjernerne På Himlen, 22, 9,,,,, DR, Tommy Seebach, Keld Heick
 finland_1993,1993, Finland, Katri-Helena, Tule Luo, 17, 20,,,,, YLE, Matti Puurtinen, Jukka Saarinen
 france_1993,1993, France, Patrick Fiori, Mama Corsica, 4, 121,,,,, FT2, Francois Valéry, Francois Valéry
 germany_1993,1993, Germany, Münchener Freiheit, Viel Zu Weit, 18, 18,,,,, ARD, Stefan Zauner, Stefan Zauner
 greece_1993,1993, Greece, Katerina Garbi," Ellada, Hora Tou Fotos", 9, 64,,,,, ERT, Dimosthenis Stringlis, Dimosthenis Stringlis
 iceland_1993,1993, Iceland, Inga, Þá Veistu Svarið, 13, 42,,,,, RÚV, Jon Kjell Seljeseth, Friðrik Sturluson
 ireland_1993,1993, Ireland, Niamh Kavanagh, In Your Eyes, 1, 187,,,,, RTÉ, Jimmy Walsh, Jimmy Walsh
 israel_1993,1993, Israel, Lakahat Shiru, Shiru, 24, 4,,,,, IBA, Shaike Paikov, Yoram Tahar-Lev
 italy_1993,1993, Italy, Enrico Ruggeri, Sole D'europa, 12, 45,,,,, RAI, Enrico Ruggeri, Enrico Ruggeri
 luxembourg_1993,1993, Luxembourg, Modern Times, Donne-moi Une Chance, 20, 11,,,,, CLT," Jimmy Martin, Patrick Hippert"," Jimmy Martin, Patrick Hippert"
 malta_1993,1993, Malta, William Mangion, This Time, 8, 69,,,,, PBM, William Mangion, William Mangion
 netherlands_1993,1993, Netherlands, Ruth Jacott, Vrede, 6, 92,,,,, NOS," Eric van Tijn, Jochem Fluitsma", Henk Westbroek
 norway_1993,1993, Norway, Silje Vige, Alle Mine Tankar, 5, 120,,,,, NRK, Bjørn-Erik Vige, Bjørn-Erik Vige
 portugal_1993,1993, Portugal, Anabela, A Cidade Até Ser Dia, 10, 60,,,,, RTP," Pedro Abrantes, Marco Quelhas, Paulo de Carvalho"," Pedro Abrantes, Marco Quelhas, Paulo de Carvalho"
 slovenia_1993,1993, Slovenia, 1X Band, Tih Dezeven Dan, 22, 9,,,,, RTVSLO, Cole Moretti, Tomaž Kosec
 spain_1993,1993, Spain, Eva Santamaria, Hombres, 11, 58,,,,, TVE," Christian de Walden, Ralf Steinman, Carlos Toro", Carlos Toro
 sweden_1993,1993, Sweden, Arvingarna, Eloïse, 7, 89,,,,, SVT, Lasse Holm, Gert Lengstrand
 switzerland_1993,1993, Switzerland, Annie Cotton," Moi, Tout Simplement", 3, 148,,,,, SSR SRG, Christophe Duc, Jean-Jacques Egli
 turkey_1993,1993, Turkey," Burak Aydos, Öztürk Baybora & Serter", Esmer Yarim, 21, 10,,,,, TRT, Burak Aydos, Burak Aydos
 united kingdom_1993,1993, United Kingdom, Sonia, Better The Devil You Know, 2, 164,,,,, BBC," Dean Collinson, Red"," Dean Collinson, Red"
 austria_1994,1994, Austria, Petra Frey, Für Den Frieden Der Welt, 17, 19,,,,, ORF, Alfons Weindorf, Karl und Johann Brunner
 bosnia & herzegovina_1994,1994, Bosnia & Herzegovina, Alma and Dejan, Ostani Kraj Mene, 15, 39,,,,, RTVBIH, Adi Mulahalilović, Edo Mulahalilović
 croatia_1994,1994, Croatia, Tony Cetinski, Nek'ti Bude Ljubav Sva, 16, 27,,,,, HRT, Željen Klašterka, Željko Krznarić
 cyprus_1994,1994, Cyprus, Evridiki, Ime Anthropos Ke Ego, 11, 51,,,,, CyBC, Giorgos Theophanous, Giorgos Theophanous
 estonia_1994,1994, Estonia, Silvi Vrait, Nagu Merelaine, 24, 2,,,,, ERR, Ivar Must, Leelo Tungal
 finland_1994,1994, Finland, CatCat, Bye Bye Baby, 22, 11,,,,, YLE," Kari Salli, Markku 'Make' Lentonen"," Kari Salli, Markku 'Make' Lentonen"
 france_1994,1994, France, Nina Morato, Je Suis Un Vrai Garçon, 7, 74,,,,, FT2, Bruno Maman, Nina Morato
 germany_1994,1994, Germany, MeKaDo, Wir Geben 'ne Party, 3, 128,,,,, ARD, Ralph Siegel, Bernd Meinunger
 greece_1994,1994, Greece, Costas Bigalis and the Sea Lovers, To Trehantiri (diri Diri), 14, 44,,,,, ERT, Costas Bigalis, Costas Bigalis
 hungary_1994,1994, Hungary, Friderika Bayer, Kinek Mondjam El Vétkeimet, 4, 122,,,,, MTV, Szilveszter Jenei, Szilveszter Jenei
 iceland_1994,1994, Iceland, Sigga, Nætur, 12, 49,,,,, RÚV, Friðrik Karlsson, Stefán Hilmarsson
 ireland_1994,1994, Ireland, Paul Harrington and Charlie McGettigan, Rock 'n' Roll Kids, 1, 226,,,,, RTÉ, Brendan J. Graham, Brendan J. Graham
 lithuania_1994,1994, Lithuania, Ovidijus Vysniauskas, Lopsine Mylimai, 25, 0,,,,, LRT, Ovidijus Vyšniauskas, Gintaras Zdebskis
 malta_1994,1994, Malta, Moira Stafrace and Christopher Scicluna, More Than Love, 5, 97,,,,, PBM, Christopher Scicluna, Moira Stafrace
 netherlands_1994,1994, Netherlands, Willeke Alberti, Waar Is De Zon, 23, 4,,,,, NOS, Edwin Schimscheimer, Coot van Doesburgh
 norway_1994,1994, Norway, Elisabeth Andreasson and Jan Werner Danielsen, Duett, 6, 76,,,,, NRK, Rolf Løvland, Hans Olaf Mørk
 poland_1994,1994, Poland, Edyta Górniak, To Nie Ja!, 2, 166,,,,, TVP, Stanisław Syrewicz, Jacek Cygan
 portugal_1994,1994, Portugal, Sara Tavares, Chamar A Música, 8, 73,,,,, RTP, João Carlos Mota Oliveira, Rosa Lobato Faria
 romania_1994,1994, Romania, Dan Bittman, Dincolo De Nori, 21, 14,,,,, TVR," Antonio Furtuna, Dan Bittman"," Antonio Furtuna, Dan Bittman"
 russia_1994,1994, Russia, Youddiph, Vechni Stranik, 9, 70,,,,, RTR, Lev Zemlinski, Youddiph (Pilgrim)
 slovakia_1994,1994, Slovakia, Martin Durinda and Tublatanka, Nekovecná Piesen, 19, 15,,,,, STV, Martin Ďurinda, Martin Sarvaš
 spain_1994,1994, Spain, Alejandro Abad, Ella No Es Ella, 18, 17,,,,, TVE, Alejandro Abad, Alejandro Abad
 sweden_1994,1994, Sweden, Marie Bergman and Roger Pontare, Stjärnorna, 13, 48,,,,, SVT, Peter Bertilsson, Mikael Littwold
 switzerland_1994,1994, Switzerland, Duilio, Sto Pregando, 19, 15,,,,, SSR SRG, Giuseppe Scaramello, Giuseppe Scaramello
 united kingdom_1994,1994, United Kingdom, Frances Ruffelle, We Will Be Free (lonely Symphony), 10, 63,,,,, BBC," George De Angelis, Mark Dean"," George De Angelis, Mark Dean"
 austria_1995,1995, Austria, Stella Jones, Die Welt Dreht Sich Verkehrt, 13, 67,,,,, ORF, Mischa Krausz, Mischa Krausz
 belgium_1995,1995, Belgium, Frédéric Etherlinck, La Voix Est Libre, 20, 8,,,,, RTBF, Pierre Theunis, Pierre Theunis
 bosnia & herzegovina_1995,1995, Bosnia & Herzegovina, Davor Popovic, Dvadeset I Prvi Vijek, 19, 14,,,,, RTVBIH," Sinan Alimanović, Adnan Bajramović, Aida Frljak", Zlatan Fazlić
 croatia_1995,1995, Croatia, Magazin and Lidija, Nostalgija, 6, 91,,,,, HRT, Tonči Huljić, Vjekoslava Huljić
 cyprus_1995,1995, Cyprus, Alexandros Panayi, Sti Fotia, 9, 79,,,,, CyBC, Alexandros Panayi, Alexandros Panayi
 denmark_1995,1995, Denmark, Aud Wilken, Fra Mols Til Skagen, 5, 92,,,,, DR," Lise Cabble, Mette Mathiesen", Lise Cabble
 france_1995,1995, France, Nathalie Santamaria, Il Me Donne Rendez-vous, 4, 94,,,,, FT2, Francois Bernheim, Didier Barbelivien
 germany_1995,1995, Germany, Stone and Stone, Verliebt In Dich, 23, 1,,,,, ARD, Cheyenne Stone, Cheyenne Stone
 greece_1995,1995, Greece, Elina Constantopoulou, Pia Prossefchi, 12, 68,,,,, ERT, Nikos Terzis, Antonis Pappas
 hungary_1995,1995, Hungary, Czaba Szigeti, Ùj Nèv Egy Règi Hàz Fàlan, 22, 3,,,,, MTV, Ferenc Balázs, Attila Horváth
 iceland_1995,1995, Iceland, Bó Halldórsson, Núna, 15, 31,,,,, RÚV," Bo Halldórsson, Ed Welch", Jón Örn Marinósson
 ireland_1995,1995, Ireland, Eddie Friel, Dreamin', 14, 44,,,,, RTÉ," Richard Abbot, Barry Woods"," Richard Abbot, Barry Woods"
 israel_1995,1995, Israel, Liora, Amen, 8, 81,,,,, IBA, Moshe Datz, Hamutal Ben Ze'ev
 malta_1995,1995, Malta, Mike Spiteri, Keep Me In Mind, 10, 76,,,,, PBM, Ray Agius, Alfred C. Sant
 norway_1995,1995, Norway, Secret Garden, Nocturne, 1, 148,,,,, NRK, Rolf Løvland, Petter Skavland
 poland_1995,1995, Poland, Justyna, Sama, 18, 15,,,,, TVP," Mateusz Pospieszalski, Wojciech Waglewski", Wojciech Waglewski
 portugal_1995,1995, Portugal, Tó Cruz, Baunilha E Chocolate, 21, 5,,,,, RTP, António Vitorino de Almeida, Rosa Lobato De Faria
 russia_1995,1995, Russia, Philipp Kirkorov, Kolybelnaya Dlya Vulkana, 17, 18,,,,, ORT, Ilya Resnik, Ilya Bershadskiy
 slovenia_1995,1995, Slovenia, Darja Svajger, Prisluhni Mi, 7, 83,,,,, RTVSLO," Primož Peterca, Sašo Fajon", Primož Peterca
 spain_1995,1995, Spain, Anabel Conde, Vuelve Conmigo, 2, 119,,,,, TVE, José María Purón, José María Purón
 sweden_1995,1995, Sweden, Jan Johansen, Se På Mej, 3, 100,,,,, SVT," Håkan Almqvist, Bobby Ljunggren", Ingela 'Pling' Forsman
 turkey_1995,1995, Turkey, Arzu Ece, Sev!, 16, 21,,,,, TRT, Melih Kibar, Zeynep Talu Kurşuncu
 united kingdom_1995,1995, United Kingdom, Love City Groove, Love City Groove, 10, 76,,,,, BBC," T. Mais, S. Rudden, J. Williams, P. Hardy"," T. Mais, S. Rudden, J. Williams, P. Hardy"
 austria_1996,1996, Austria, George Nußbaumer, Weil's Dr Guat Got, 10, 68,,,,, ORF," Mischa Krausz, George Nussbaumer"," Mischa Krausz, George Nussbaumer"
 belgium_1996,1996, Belgium, Lisa del Bo, Liefde Is Een Kaartspel, 16, 22,,,,, BRTN," John Terra, Siirak Brogden", Daniel Ditmar
 bosnia & herzegovina_1996,1996, Bosnia & Herzegovina, Amila Glamocak, Za Našu Ljubav, 22, 13,,,,, RTVBIH," Sinan Alimanović, Adnan Bajramović, Aida Frljak"," Sinan Alimanović, Adnan Bajramović, Aida Frljak"
 croatia_1996,1996, Croatia, Maja Blagdan, Sveta Ljubav, 4, 98,,,,, HRT, Zrinko Tutić, Zrinko Tutić
 cyprus_1996,1996, Cyprus, Constantinos, Mono Gia Mas, 9, 72,,,,, CyBC, Andreas Giorgallis, Rodoula Papalambrianou
 estonia_1996,1996, Estonia, Ivo Linna and Maarja-Liis Ilus, Kaelakee Hääl, 5, 94,,,,, ERR, Priit Pajusaar, Kaari Sillamaa
 finland_1996,1996, Finland, Jasmine, Niin Kaunis On Taivas, 23, 9,,,,, YLE, Timo Niemi, Timo Niemi
 france_1996,1996, France, Dan Ar Braz et l'Héritage des Celtes, Diwanit Bugale, 19, 18,,,,, FT2, Dan Ar Braz, Dan Ar Braz
 greece_1996,1996, Greece, Marianna Efstratiou, Emis Forame To Himona Anixiatika, 14, 36,,,,, ERT, Costas Bigalis, Iro Trigoni
 iceland_1996,1996, Iceland, Anna Mjöll, Sjúbídú, 13, 51,,,,, RÚV," Anna Mjöll Ólafsdóttir, Ólafur Gaukur Þórhallsson"," Anna Mjöll Ólafsdóttir, Ólafur Gaukur Þórhallsson"
 ireland_1996,1996, Ireland, Eimear Quinn, The Voice, 1, 162,,,,, RTÉ, Brendan J. Graham, Brendan J. Graham
 malta_1996,1996, Malta, Miriam Christine, In A Woman's Heart, 10, 68,,,,, PBS, Paul Abela, Alfred C. Sant
 netherlands_1996,1996, Netherlands, Maxine and Franklin Brown, De Eerste Keer, 7, 78,,,,, NOS, Peter van Asten," Piet Souer, Peter van Asten"
 norway_1996,1996, Norway, Elisabeth Andreasson, I Evighet, 2, 114,,,,, NRK, Torhild Nigar, Torhild Nigar
 poland_1996,1996, Poland, Kasia Kowalska, Chce Znac Swój Grzech, 15, 31,,,,, TVP, Robert Amirian, Kasia Kowalska
 portugal_1996,1996, Portugal, Lúcia Moniz, O Meu Coração Não Tem Cor, 6, 92,,,,, RTP, Pedro Osório, José Fanha
 slovakia_1996,1996, Slovakia, Marcel Palonder, Kým Nás Máš, 18, 19,,,,, STV, Juraj Burian, Jozef Urban
 slovenia_1996,1996, Slovenia, Regina, Dan najlepših sanj, 21, 16,,,,, RTVSLO, Aleksander Kogoj, Aleksander Kogoj
 spain_1996,1996, Spain, Antonio Carbonell," ¡ay, Qué Deseo!", 20, 17,,,,, TVE," Antonio Carmona, Josemi Carmona, Juan Carmona"," Antonio Carmona, Josemi Carmona, Juan Carmona"
 sweden_1996,1996, Sweden, One More Time, Den Vilda, 3, 100,,,,, SVT, Peter Grönvall, Nanne Grönvall
 switzerland_1996,1996, Switzerland, Cathy Leander, Mon Coeur L'aime, 16, 22,,,,, SSR SRG, Régis Mounir, Régis Mounir
 turkey_1996,1996, Turkey, Sebnem Paker, Besinçi Mevsim, 12, 57,,,,, TRT, Levent Çoker, Selma Çuhacı
 united kingdom_1996,1996, United Kingdom, Gina G, Just A Little Bit, 8, 77,,,,, BBC, Steve Rodway, Simon Tauber
 austria_1997,1997, Austria, Bettina Soriat, One Step, 21, 12,,,,, ORF, Marc Berry," Marc Berry, Martina Siber"
 bosnia & herzegovina_1997,1997, Bosnia & Herzegovina, Alma Cardzic, Goodbye, 18, 22,,,,, RTVBIH," Milić Vukašinović, Sinan Alimanović", Milić Vukašinović
 croatia_1997,1997, Croatia, ENI, Probudi Me, 17, 24,,,,, HRT, Davor Tolja, Alida Šarar
 cyprus_1997,1997, Cyprus, Chara and Andreas Konstantinou, Mana Mou, 5, 98,,,,, CyBC, Constantina Konstantinou, Constantina Konstantinou
 denmark_1997,1997, Denmark, Kølig Kaj, Stemmen I Mit Liv, 16, 25,,,,, DR, Lars Pedersen, Thomas Lægård
 estonia_1997,1997, Estonia, Maarja-Liis Ilus, Keelatud Maa, 8, 82,,,,, ERR, Harmo Kallaste, Kaari Sillamaa
 france_1997,1997, France, Fanny, Sentiments Songes, 7, 95,,,,, FT2, Jean-Paul Dréau, Jean-Paul Dréau
 germany_1997,1997, Germany, Bianca Shomburg, Zeit, 18, 22,,,,, ARD, Ralph Siegel, Bernd Meinunger
 greece_1997,1997, Greece, Marianna Zorba, Horepse, 12, 39,,,,, ERT, Manolis Manusselis, Manolis Manusselis
 hungary_1997,1997, Hungary, VIP," Miert Kell, Hogy Elmenj?", 12, 39,,,,, MTV, Viktor Rakonczai, Krisztina Bokor Fekete
 iceland_1997,1997, Iceland, Paul Oscar, Minn Hinsti Dans, 20, 18,,,,, RÚV," Paul Oscar, Trausti Haraldsson", Paul Oscar
 ireland_1997,1997, Ireland, Marc Roberts, Mysterious Woman, 2, 157,,,,, RTÉ, John Farry, John Farry
 italy_1997,1997, Italy, Jalisse, Fiumi Di Parole, 4, 114,,,,, RAI, Fabio Ricci," Carmen Di Domenico, Alessandra Drusi"
 malta_1997,1997, Malta, Debbie Scerri, Let Me Fly, 9, 66,,,,, PBS, Ray Agius, Ray Agius
 netherlands_1997,1997, Netherlands, Mrs. Einstein, Niemand Heeft Nog Tijd, 22, 5,,,,, NOS, Ed Hooijmans, Ed Hooijmans
 norway_1997,1997, Norway, Tor Endresen, San Francisco, 24, 0,,,,, NRK," Tor Endresen, Arne Myksvoll", Tor Endresen
 poland_1997,1997, Poland, Anna Maria Jopek, Ale Jestem, 11, 54,,,,, TVP, Tomasz Lewandowski, Magda Czapinska
 portugal_1997,1997, Portugal, Célia Lawson, Antes Do Adeus, 24, 0,,,,, RTP, Thilo Krassmann, Rosa Lobato de Faria
 russia_1997,1997, Russia, Alla Pugachova, Primadonna, 15, 33,,,,, ORT, Alla Pugatschowa, Alla Pugatschowa
 slovenia_1997,1997, Slovenia, Tanja Ribic, Zbudi Se, 10, 60,,,,, RTVSLO, Saša Lošić, Zoran Predin
 spain_1997,1997, Spain, Marcos Llunas, Sin Rencor, 6, 96,,,,, TVE, Marcos Llunas, Marcos Llunas
 sweden_1997,1997, Sweden, Blond, Bara Hon älskar Mig, 14, 36,,,,, SVT, Stephan Berg, Stephan Berg
 switzerland_1997,1997, Switzerland, Barbara Berta, Dentro Di Me, 22, 5,,,,, SSR SRG, Barbara Berta, Barbara Berta
 turkey_1997,1997, Turkey, Sebnem Paker and Group Etnic, Dinle, 3, 121,,,,, TRT, Levent Çoker, Mehtap Alnıtemiz
 united kingdom_1997,1997, United Kingdom, Katrina and The Waves, Love Shine A Light, 1, 227,,,,, BBC, Kimberley Rew, Kimberley Rew
 belgium_1998,1998, Belgium, Mélanie Cohl, Dis Oui, 6, 122,,,,, RTBF, Philippe Swan, Philippe Swan
 croatia_1998,1998, Croatia, Danijela, Neka Mi Ne Svane, 5, 131,,,,, HRT," Petar Grašo, Remi Kazinotti, Stjepan Kalogjera"," Petar Grašo, Remi Kazinotti, Stjepan Kalogjera"
 cyprus_1998,1998, Cyprus, Michael Hajiyanni, Genesis, 11, 37,,,,, CyBC, Michael Hajiyanni, Zenon Zindilis
 estonia_1998,1998, Estonia, Koit Toome, Mere Lapsed, 12, 36,,,,, ERR," Maria Rahula, Tomi Rahula", Peeter Pruuli
 finland_1998,1998, Finland, Edea, Aava, 15, 22,,,,, YLE, Alexi Ahoniemi, Tommy Mansikka-Aho
 france_1998,1998, France, Marie-Line, Où Aller, 24, 3,,,,, FT2," Jean-P. Dary, Marie Line , Moïse Crespy, Micaël Sene"," Jean-P. Dary, Marie Line , Moïse Crespy, Micaël Sene"
 germany_1998,1998, Germany, Guildo Horn, Guildo Hat Euch Lieb, 7, 86,,,,, ARD, Stefan Raab, Stefan Raab
 greece_1998,1998, Greece, Dionysia and Thalassa group, Mia Krifi Evaisthissia, 20, 12,,,,, ERT, Yiannis Valvis, Yiannis Malachias
 hungary_1998,1998, Hungary, Charlie, A Holnap Már Ném Lesz Szomorú, 23, 4,,,,, MTV, István Lerch, Attila Horváth
 ireland_1998,1998, Ireland, Dawn, Is Always Over Now?, 9, 64,,,,, RTÉ, Gerry Morgan, Gerry Morgan
 israel_1998,1998, Israel, Dana International, Diva, 1, 172,,,,, IBA, Tzvika Pik, Yoav Ginai
 malta_1998,1998, Malta, Chiara, The One That I Love, 3, 165,,,,, PBS, Jason Cassar, Sunny Aquilina
 netherlands_1998,1998, Netherlands, Edsilia Rombley, Hemel En Aarde, 4, 150,,,,, NOS," Eric van Tijn, Jochem Fluitsma"," Eric van Tijn, Jochem Fluitsma"
 north macedonia_1998,1998, North Macedonia, Vlado Janevski," Ne Zori, Zoro", 19, 16,,,,, MKRTV, Grigor Koprov, Vlado Janevski
 norway_1998,1998, Norway, Lars A. Fredriksen, Alltid Sommer, 8, 79,,,,, NRK," David Eriksen, Per Ottestad", Linda Johansen
 poland_1998,1998, Poland, Sixteen, To Takie Proste, 17, 19,,,,, TVP, Jaroslaw Pruszkowski, Olga Pruszkowska
 portugal_1998,1998, Portugal, Alma Lusa, Se Eu Te Pudesse Abraçar, 12, 36,,,,, RTP, José Cid, José Cid
 romania_1998,1998, Romania, Malina Olinescu, Eu Cred, 22, 6,,,,, TVR, Adrian Romcescu, Liliana Ştefan
 slovakia_1998,1998, Slovakia, Katarína Hasprová, Modlitba, 21, 8,,,,, STV, Gabriel Dušík, Anna Wepperyová
 slovenia_1998,1998, Slovenia, Vili Resnik, Naj Bogovi Slišijo, 18, 17,,,,, RTVSLO, Matjaž Vlašič, Urša Vlašič
 spain_1998,1998, Spain, Mikel Herzog, ¿Qué Voy A Hacer Sin Ti?, 16, 21,,,,, TVE, Alberto Estébanez, Mikel Herzog
 sweden_1998,1998, Sweden, Jill Johnson, Kärleken är, 10, 53,,,,, SVT," Håkan Almqvist, Bobby Ljunggren", Ingela 'Pling' Forsman
 switzerland_1998,1998, Switzerland, Gunvor, Lass Ihn, 25, 0,,,,, SSR SRG," Gunvor, Egon Egemann"," Gunvor, Egon Egemann"
 turkey_1998,1998, Turkey, Tüzmen, Unutamazsin, 14, 25,,,,, TRT, Erdinç Tunç, Canan Tunç
 united kingdom_1998,1998, United Kingdom, Imaani, Where Are You?, 2, 166,,,,, BBC," Scott English, Phil Manikiza, Simon Stirling"," Scott English, Phil Manikiza, Simon Stirling"
 austria_1999,1999, Austria, Bobbie Singer, Reflection, 10, 65,,,,, ORF, Dave Moskin, Dave Moskin
 belgium_1999,1999, Belgium, Venessa Chinitor, Like The Wind, 12, 38,,,,, VRT," Ilia Beyers, J. Terra, Emma Hjälmås, Wim Claes"," Ilia Beyers, J. Terra, Emma Hjälmås, Wim Claes"
